Subject;nocog_vis_mv;nocog_novis_mv;nocog_RQ_mv;simplcog_vis_mv;simplcog_novis_mv;simplcog_RQ_mv;difficog_vis_mv;difficog_novis_mv;difficog_RQ_mv
sub1;8.64;10.43;1.207175926;12.2;23.53;1.928688525;13.38;18.64;1.393124066
sub2;14.41;22.33;1.549618321;21.24;27.88;1.312617702;15.76;20.69;1.312817259
sub3;11.54;15.31;1.326689775;15.22;27.01;1.774638633;18.38;21.16;1.15125136
sub4;11.3;16.58;1.467256637;15.23;15.7;1.030860144;15.35;14.1;0.918566775
sub5;11.9;13.49;1.133613445;21.2;18.42;0.868867925;14.39;13.69;0.951355108
sub6;10.16;16.15;1.589566929;14.37;14.32;0.996520529;17.17;14.85;0.864880606
sub7;10.77;14.26;1.324048282;15.1;16.12;1.067549669;23.96;18.74;0.782136895
sub8;12.52;13.12;1.047923323;14.1;17.15;1.216312057;14.01;14.28;1.019271949
sub9;17.5;18.8;1.074285714;18.69;26.47;1.416265383;20.04;22.58;1.126746507
sub10;9.84;11.44;1.162601626;13.49;14.96;1.108969607;14.51;16.19;1.115782219
sub11;12.96;15.51;1.196759259;33.43;20.06;0.600059827;31.77;12.35;0.388731508
sub12;13.74;18.42;1.340611354;22.81;13.73;0.601928979;12.07;14.79;1.225352113
sub13;13.02;16.4;1.259600614;16.1;19.37;1.20310559;15.02;17.17;1.143142477
sub14;16.59;18.41;1.109704641;18.97;21.39;1.127569847;23.84;19.51;0.818372483
sub15;12.12;13.63;1.124587459;14.9;17.22;1.155704698;14.14;15.81;1.118104668
sub16;9.73;14.27;1.46659815;14.04;9.95;0.708689459;8.8;12.31;1.398863636
sub17;14.86;20.35;1.369448183;18.27;39.59;2.166940339;11.81;18.23;1.543607113
sub18;11.18;14.58;1.30411449;12.23;14.27;1.166802944;14.94;14.05;0.94042838
sub19;11.62;23.02;1.981067126;13.75;19.31;1.404363636;15.02;20.62;1.372836218
sub20;14.55;15.61;1.072852234;16.16;18.52;1.146039604;12.84;12.91;1.005451713
sub21;11.06;12.27;1.109403255;14.61;20.51;1.403832991;15.1;15.41;1.020529801
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
