Subject;nocog_vis_x;nocog_novis_x;nocog_RQ_x;nocog_vis_y;nocog_novis_y;nocog_RQ_y;simplcog_vis_x;simplcog_novis_x;simplcog_RQ_x;simplcog_vis_y;simplcog_novis_y;simplcog_RQ_y;difficog_vis_x;difficog_novis_x;difficog_RQ_x;difficog_vis_y;difficog_novis_y;difficog_RQ_y
sub1;0.438;0.539;1.230593607;0.245;0.317;1.293877551;0.605;1.227;2.028099174;0.349;0.661;1.893982808;0.628;0.944;1.503184713;0.446;0.549;1.230941704
sub2;0.751;1.147;1.527296937;0.391;0.663;1.695652174;1.101;1.059;0.961852861;0.625;1.217;1.9472;0.666;1.116;1.675675676;0.614;0.516;0.840390879
sub3;0.441;0.722;1.637188209;0.478;0.484;1.012552301;0.735;1.214;1.65170068;0.496;0.971;1.95766129;0.891;0.994;1.115600449;0.581;0.706;1.215146299
sub4;0.644;0.95;1.47515528;0.236;0.366;1.550847458;0.782;0.854;1.092071611;0.428;0.401;0.936915888;0.728;0.738;1.013736264;0.512;0.42;0.8203125
sub5;0.5;0.716;1.432;0.499;0.391;0.783567134;0.981;0.877;0.893985729;0.742;0.646;0.870619946;0.614;0.674;1.09771987;0.599;0.454;0.757929883
sub6;0.334;0.81;2.425149701;0.467;0.522;1.117773019;0.72;0.699;0.970833333;0.474;0.483;1.018987342;0.9;0.757;0.841111111;0.503;0.482;0.958250497
sub7;0.503;0.746;1.483101392;0.323;0.292;0.904024768;0.663;1.23;1.85520362;0.482;0.45;0.933609959;1.107;0.833;0.752484192;0.69;0.561;0.813043478
sub8;0.554;0.605;1.092057762;0.394;0.378;0.959390863;0.594;0.889;1.496632997;0.45;0.365;0.811111111;0.658;0.724;1.100303951;0.372;0.305;0.819892473
sub9;0.807;0.94;1.164807931;0.486;0.431;0.886831276;0.877;1.212;1.381984036;0.517;0.734;1.419729207;0.786;1.003;1.276081425;0.712;0.692;0.971910112
sub10;0.445;0.543;1.220224719;0.319;0.322;1.009404389;0.614;0.74;1.205211726;0.364;0.369;1.013736264;0.699;0.789;1.128755365;0.381;0.418;1.097112861
sub11;0.555;0.654;1.178378378;0.405;0.522;1.288888889;1.725;0.913;0.529275362;0.69;0.551;0.798550725;1.708;0.533;0.31206089;0.526;0.397;0.754752852
sub12;0.571;0.777;1.360770578;0.444;0.613;1.380630631;0.852;0.657;0.771126761;0.873;0.389;0.44558992;0.573;0.756;1.319371728;0.322;0.328;1.01863354
sub13;0.681;0.893;1.311306902;0.29;0.271;0.934482759;0.859;1.069;1.244470314;0.319;0.297;0.931034483;0.776;0.878;1.131443299;0.338;0.406;1.201183432
sub14;0.711;0.958;1.347398031;0.544;0.366;0.672794118;0.884;1.046;1.183257919;0.517;0.487;0.941972921;1.206;0.966;0.800995025;0.573;0.468;0.816753927
sub15;0.498;0.655;1.315261044;0.433;0.358;0.826789838;0.674;1;1.483679525;0.44;0.603;1.370454545;0.694;0.718;1.034582133;0.341;0.44;1.290322581
sub16;0.448;0.737;1.645089286;0.257;0.298;1.159533074;0.644;0.487;0.75621118;0.4;0.244;0.61;0.368;0.586;1.592391304;0.281;0.302;1.074733096
sub17;0.456;0.705;1.546052632;0.391;0.381;0.974424552;0.54;0.646;1.196296296;0.377;0.444;1.177718833;0.699;0.649;0.928469242;0.43;0.38;0.88372093
sub18;0.581;1.138;1.95869191;0.289;0.585;2.024221453;0.646;0.969;1.5;0.365;0.464;1.271232877;0.65;1.047;1.610769231;0.49;0.479;0.97755102
sub19;0.584;0.97;1.660958904;0.562;0.541;0.962633452;0.854;1.516;1.775175644;0.585;1.608;2.748717949;0.562;0.95;1.690391459;0.348;0.376;1.08045977
sub20;0.662;0.713;1.077039275;0.442;0.442;1;0.756;0.972;1.285714286;0.395;0.336;0.850632911;0.603;0.665;1.102819237;0.334;0.241;0.721556886
sub21;0.504;0.591;1.172619048;0.313;0.308;0.984025559;0.628;0.872;1.388535032;0.472;0.671;1.421610169;0.597;0.719;1.204355109;0.546;0.441;0.807692308
;;;;;;;;;;;;;;;;;;
;;;; ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
